Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659254706.0255218, 0.0, 5.0, 0.1, 10, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
0.0,-0.55239,0.00004,1.26054e+00,1.26590e+00,1.44758e+00,1.44763e+00,1.44763e+00,1.44751e+00,1.44756e+00,1.44765e+00,1.44759e+00,1.44765e+00,1.44769e+00,1.44762e+00,3.11858e-06,3.02920e-06,4.27167e-10,-3.47694e-10,-3.67562e-10,1.62919e-09,7.74860e-10,-5.86112e-10,2.98023e-10,-6.25849e-10,-1.28150e-09,-1.88748e-10,1659254714.5612571,1659254715.0239265,1659254715.4871924,1659254715.9497862,1659254716.4129896,1659254716.8757322,1659254717.3385699,1659254717.801169,1659254718.2639623,1659254718.7268014,1659254719.1890135,1659254719.6517138
0.0,-0.553037,0.00004,1.25997e+00,1.26552e+00,1.44696e+00,1.44703e+00,1.44691e+00,1.44695e+00,1.44692e+00,1.44701e+00,1.44696e+00,1.44692e+00,1.44698e+00,1.44701e+00,3.11734e-06,3.02473e-06,2.98023e-11,-1.13249e-09,9.33806e-10,2.48353e-10,6.85453e-10,-7.54992e-10,1.98682e-11,6.95388e-10,-2.88089e-10,-8.24531e-10,1659254721.6864507,1659254722.1490512,1659254722.6118348,1659254723.0772207,1659254723.5401502,1659254724.002894,1659254724.4651728,1659254724.9280472,1659254725.3908138,1659254725.8531992,1659254726.3160465,1659254726.7788322
0.0,-0.552759,0.00004,1.26044e+00,1.26575e+00,1.44727e+00,1.44725e+00,1.44721e+00,1.44717e+00,1.44722e+00,1.44729e+00,1.44722e+00,1.44725e+00,1.44726e+00,1.44727e+00,3.11415e-06,3.02564e-06,-4.56969e-10,-1.29143e-10,4.47035e-10,1.24176e-09,3.97364e-10,-8.24531e-10,3.57628e-10,-1.68880e-10,-2.38419e-10,-4.76837e-10,1659254728.8064725,1659254729.2694032,1659254729.7320817,1659254730.1946452,1659254730.6576426,1659254731.1239128,1659254731.586646,1659254732.0495088,1659254732.511478,1659254732.9742506,1659254733.4377885,1659254733.9010186
0.0,-0.553002,0.00004,1.25996e+00,1.26550e+00,1.44693e+00,1.44697e+00,1.44703e+00,1.44700e+00,1.44703e+00,1.44689e+00,1.44699e+00,1.44699e+00,1.44704e+00,1.44711e+00,3.11805e-06,3.02568e-06,1.18216e-09,3.87430e-10,-4.86771e-10,-1.98682e-11,-4.76837e-10,1.80801e-09,5.96046e-11,1.09275e-10,-6.75519e-10,-1.78814e-09,1659254735.9303675,1659254736.4012098,1659254736.8640678,1659254737.326686,1659254737.7890663,1659254738.2536674,1659254738.7168171,1659254739.1793919,1659254739.6440694,1659254740.1069882,1659254740.569081,1659254741.031782
0.0,-0.553015,0.00004,1.26020e+00,1.26524e+00,1.44708e+00,1.44698e+00,1.44698e+00,1.44700e+00,1.44701e+00,1.44692e+00,1.44694e+00,1.44702e+00,1.44708e+00,1.44705e+00,3.11388e-06,3.02978e-06,-1.51992e-09,6.95388e-11,9.93411e-12,-2.28484e-10,-4.96705e-10,1.12255e-09,7.45058e-10,-6.35783e-10,-1.54972e-09,-1.16229e-09,1659254743.0702012,1659254743.5410497,1659254744.0036213,1659254744.4665952,1659254744.929027,1659254745.3917007,1659254745.854841,1659254746.317285,1659254746.7817125,1659254747.2453148,1659254747.7079227,1659254748.170576
0.0,-0.553069,0.00004,1.25991e+00,1.26530e+00,1.44697e+00,1.44704e+00,1.44699e+00,1.44696e+00,1.44690e+00,1.44688e+00,1.44695e+00,1.44693e+00,1.44700e+00,1.44703e+00,3.11787e-06,3.02797e-06,-5.76178e-10,-1.83781e-09,-1.04308e-09,-5.16574e-10,5.26508e-10,8.44399e-10,-3.37760e-10,2.98023e-11,-1.17222e-09,-1.59939e-09,1659254750.2137184,1659254750.680018,1659254751.1451857,1659254751.6078358,1659254752.0706172,1659254752.5330527,1659254752.9957423,1659254753.4585936,1659254753.921163,1659254754.383962,1659254754.84697,1659254755.309161
0.0,-0.553061,0.00004,1.26009e+00,1.26547e+00,1.44693e+00,1.44699e+00,1.44697e+00,1.44693e+00,1.44683e+00,1.44695e+00,1.44699e+00,1.44702e+00,1.44700e+00,1.44696e+00,3.11500e-06,3.02524e-06,2.28484e-10,-8.24531e-10,-4.37101e-10,7.94729e-11,1.89741e-09,-2.28484e-10,-8.84136e-10,-1.43051e-09,-1.09275e-09,-3.17891e-10,1659254757.3335588,1659254757.796656,1659254758.2592108,1659254758.7214274,1659254759.1849463,1659254759.6476336,1659254760.1103103,1659254760.572856,1659254761.0374827,1659254761.5007377,1659254761.963422,1659254762.4263134
0.0,-0.553419,0.00004,1.25954e+00,1.26505e+00,1.44662e+00,1.44664e+00,1.44653e+00,1.44660e+00,1.44653e+00,1.44661e+00,1.44657e+00,1.44654e+00,1.44659e+00,1.44661e+00,3.11819e-06,3.02628e-06,-5.86112e-10,-9.43740e-10,8.04663e-10,-2.98023e-10,8.24531e-10,-5.36442e-10,1.78814e-10,6.05981e-10,-1.09275e-10,-5.36442e-10,1659254764.4742105,1659254764.9375591,1659254765.401139,1659254765.8637295,1659254766.3265846,1659254766.7893326,1659254767.252005,1659254767.7147892,1659254768.1771789,1659254768.6417592,1659254769.1050706,1659254769.5676835
0.0,-0.55375,0.00004,1.25937e+00,1.26451e+00,1.44624e+00,1.44625e+00,1.44631e+00,1.44626e+00,1.44618e+00,1.44621e+00,1.44617e+00,1.44631e+00,1.44633e+00,1.44631e+00,3.11548e-06,3.02968e-06,1.49012e-10,1.98682e-11,-9.43740e-10,-1.68880e-10,1.24176e-09,5.86112e-10,1.36097e-09,-9.73543e-10,-1.31130e-09,-9.73543e-10,1659254771.598533,1659254772.060157,1659254772.5253599,1659254772.9882264,1659254773.4509332,1659254773.9132574,1659254774.3759565,1659254774.838761,1659254775.3017998,1659254775.7639303,1659254776.226572,1659254776.6890533
0.0,-0.554142,0.00004,1.25910e+00,1.26441e+00,1.44587e+00,1.44587e+00,1.44591e+00,1.44584e+00,1.44579e+00,1.44585e+00,1.44583e+00,1.44595e+00,1.44592e+00,1.44592e+00,3.11347e-06,3.02484e-06,-1.39078e-10,-2.28484e-10,-8.84136e-10,3.67562e-10,1.05302e-09,1.19209e-10,4.37101e-10,-1.55965e-09,-1.05302e-09,-9.93411e-10,1659254778.724113,1659254779.186874,1659254779.6519256,1659254780.1146295,1659254780.5772557,1659254781.0399883,1659254781.5026531,1659254781.965184,1659254782.4278119,1659254782.8906705,1659254783.3530793,1659254783.8158743
