Start T, Start V, Stop V, Step V, Num Readings, ADC Rate, Sleep HV, Sleep DAC, Sleep Readings
1659383337.1867886, 45.0, 60.0, 0.1, 5, 4, 5, 1, 0.05
HV_set (V),HV_rdb (V), HV_err (V),VsCH_1 (V),VsCH_3 (V),VsCH_6 (V),VsCH_7 (V),VsCH_8 (V),VsCH_9 (V),VsCH_10 (V),VsCH_11 (V),VsCH_12 (V),VsCH_14 (V),VsCH_15 (V),VsCH_16 (V),IsCH_1 (A),IsCH_3 (A),IsCH_6 (A),IsCH_7 (A),IsCH_8 (A),IsCH_9 (A),IsCH_10 (A),IsCH_11 (A),IsCH_12 (A),IsCH_14 (A),IsCH_15 (A),IsCH_16 (A),TsCH_1 (s),TsCH_3 (s),TsCH_6 (s),TsCH_7 (s),TsCH_8 (s),TsCH_9 (s),TsCH_10 (s),TsCH_11 (s),TsCH_12 (s),TsCH_14 (s),TsCH_15 (s),TsCH_16 (s)
45.0,44.7032,0.00270,4.52297e+01,4.52614e+01,4.67031e+01,4.67032e+01,4.67031e+01,4.67031e+01,4.67030e+01,4.67031e+01,4.67031e+01,4.67030e+01,4.67031e+01,4.67033e+01,2.45643e-05,2.40360e-05,1.28150e-09,6.65585e-10,1.97689e-09,2.08616e-09,3.18885e-09,2.49346e-09,1.49012e-09,2.59280e-09,1.50005e-09,-1.77821e-09,1659383345.7339263,1659383346.1963701,1659383346.6588826,1659383347.1215734,1659383347.5839033,1659383348.0492525,1659383348.5118606,1659383348.9743726,1659383349.436769,1659383349.8996584,1659383350.3621821,1659383350.8242025
45.0,44.7037,0.00270,4.52305e+01,4.52619e+01,4.67035e+01,4.67036e+01,4.67034e+01,4.67035e+01,4.67036e+01,4.67037e+01,4.67036e+01,4.67036e+01,4.67037e+01,4.67038e+01,2.45593e-05,2.40354e-05,3.52661e-09,1.08282e-09,4.19219e-09,2.98023e-09,1.21196e-09,7.25190e-10,1.70867e-09,2.10603e-09,3.67562e-10,-2.01662e-09,1659383352.8598511,1659383353.3223255,1659383353.7842884,1659383354.2495267,1659383354.7128298,1659383355.1758993,1659383355.6383586,1659383356.10081,1659383356.564,1659383357.0284824,1659383357.4910676,1659383357.9536252
45.0,44.7043,0.00270,4.52312e+01,4.52626e+01,4.67044e+01,4.67043e+01,4.67042e+01,4.67042e+01,4.67043e+01,4.67042e+01,4.67042e+01,4.67042e+01,4.67044e+01,4.67045e+01,2.45585e-05,2.40339e-05,-8.74201e-10,5.46376e-10,2.42392e-09,2.10603e-09,7.94729e-11,1.06295e-09,1.09275e-09,1.56959e-09,-1.78814e-09,-2.68221e-09,1659383359.9880443,1659383360.4527204,1659383360.9157996,1659383361.3782818,1659383361.8404894,1659383362.304319,1659383362.7669003,1659383363.2294014,1659383363.6927836,1659383364.1560612,1659383364.6185443,1659383365.0811217
45.0,44.7053,0.00270,4.52320e+01,4.52637e+01,4.67052e+01,4.67053e+01,4.67054e+01,4.67052e+01,4.67053e+01,4.67053e+01,4.67052e+01,4.67052e+01,4.67054e+01,4.67054e+01,2.45609e-05,2.40323e-05,1.11262e-09,-5.16574e-10,-1.00334e-09,1.76827e-09,-2.78155e-10,-3.37760e-10,1.60933e-09,2.49346e-09,-1.65900e-09,-1.68880e-09,1659383367.1044524,1659383367.5669923,1659383368.0322042,1659383368.4948435,1659383368.95732,1659383369.4204657,1659383369.8829942,1659383370.3454194,1659383370.8091576,1659383371.2707338,1659383371.733201,1659383372.195859
45.0,44.7045,0.00270,4.52312e+01,4.52628e+01,4.67045e+01,4.67045e+01,4.67043e+01,4.67044e+01,4.67045e+01,4.67045e+01,4.67044e+01,4.67045e+01,4.67046e+01,4.67046e+01,2.45610e-05,2.40336e-05,-7.54992e-10,2.78155e-10,2.66234e-09,1.90735e-09,1.19209e-10,2.08616e-10,1.64906e-09,6.35783e-10,-8.34465e-10,-1.98682e-09,1659383374.2101882,1659383374.6722453,1659383375.134657,1659383375.5973113,1659383376.0604923,1659383376.5230083,1659383376.9854977,1659383377.4479976,1659383377.911704,1659383378.3754363,1659383378.837914,1659383379.3002558
45.1,44.8067,0.00350,4.53338e+01,4.53656e+01,4.68066e+01,4.68066e+01,4.68067e+01,4.68067e+01,4.68067e+01,4.68066e+01,4.68066e+01,4.68067e+01,4.68068e+01,4.68068e+01,2.45553e-05,2.40243e-05,8.74201e-10,9.73543e-10,5.36442e-10,-6.95388e-10,5.16574e-10,2.22524e-09,2.47359e-09,7.25190e-10,-1.40071e-09,-2.45372e-09,1659383389.3593457,1659383389.8243434,1659383390.2893028,1659383390.7523587,1659383391.2150311,1659383391.677527,1659383392.1400146,1659383392.6025736,1659383393.0652468,1659383393.5278447,1659383393.9904308,1659383394.4528134
45.1,44.8065,0.00350,4.53336e+01,4.53654e+01,4.68063e+01,4.68065e+01,4.68066e+01,4.68065e+01,4.68063e+01,4.68062e+01,4.68064e+01,4.68065e+01,4.68067e+01,4.68065e+01,2.45543e-05,2.40246e-05,3.26832e-09,1.98682e-11,-2.02656e-09,-1.29143e-10,2.99017e-09,4.59949e-09,1.57952e-09,-3.57628e-10,-2.96036e-09,-1.19209e-10,1659383396.468531,1659383396.9311135,1659383397.3937635,1659383397.856115,1659383398.3186827,1659383398.781859,1659383399.2439957,1659383399.7085736,1659383400.1748788,1659383400.6373158,1659383401.1000004,1659383401.5620563
45.1,44.8056,0.00350,4.53326e+01,4.53645e+01,4.68054e+01,4.68057e+01,4.68056e+01,4.68055e+01,4.68054e+01,4.68057e+01,4.68056e+01,4.68058e+01,4.68057e+01,4.68056e+01,2.45565e-05,2.40241e-05,2.61267e-09,-2.14577e-09,-2.98023e-11,2.28484e-09,3.47694e-09,-1.03315e-09,-2.68221e-10,-3.72529e-09,-8.34465e-10,3.27826e-10,1659383403.5885868,1659383404.0510964,1659383404.51377,1659383404.9759567,1659383405.4397075,1659383405.9046226,1659383406.3677154,1659383406.8337393,1659383407.296368,1659383407.7589889,1659383408.2214851,1659383408.6847038
45.1,44.8056,0.00350,4.53328e+01,4.53646e+01,4.68057e+01,4.68058e+01,4.68055e+01,4.68055e+01,4.68055e+01,4.68056e+01,4.68057e+01,4.68056e+01,4.68055e+01,4.68055e+01,2.45531e-05,2.40227e-05,-1.97689e-09,-2.67227e-09,1.55965e-09,2.31465e-09,1.71860e-09,3.57628e-10,-9.53674e-10,-2.28484e-10,1.29143e-09,9.04004e-10,1659383410.7094674,1659383411.1752555,1659383411.637876,1659383412.1000485,1659383412.5624967,1659383413.025045,1659383413.4880977,1659383413.9525313,1659383414.414882,1659383414.8772926,1659383415.340201,1659383415.8038192
45.1,44.8059,0.00350,4.53330e+01,4.53648e+01,4.68059e+01,4.68060e+01,4.68059e+01,4.68058e+01,4.68057e+01,4.68059e+01,4.68059e+01,4.68061e+01,4.68059e+01,4.68058e+01,2.45537e-05,2.40248e-05,1.29143e-10,-1.40071e-09,-7.15256e-10,1.74840e-09,2.98023e-09,7.94729e-10,-6.15915e-10,-3.85443e-09,6.15915e-10,1.29143e-09,1659383417.823723,1659383418.2881086,1659383418.7507164,1659383419.2133803,1659383419.6764834,1659383420.1394544,1659383420.6019483,1659383421.0642793,1659383421.5267746,1659383421.9892473,1659383422.4523075,1659383422.9149084
